	params	dataselector__P1	dataselector__P2	dataselector__R0	dataselector__R1	dataselector__R2	dataselector__SA	dataselector__SO	svc__C	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
10	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	1e-05	X	X	X	X	0.001	-0.12309149097933272	0.3983155280677082	0.46212121212121215	-0.12309149097933272	0.3758896098324875	0.4141414141414141	-0.12309149097933272	0.40521185949298305	0.48232323232323226	-0.12309149097933272	0.39222270795336467	0.44696969696969696	-0.12309149097933272	0.41595096818589944	0.4823232323232323	-0.12309149097933272	0.4010739797047585	0.4671717171717172	-0.12309149097933272	0.4013351765814883	0.46464646464646464	-0.12309149097933272	0.38497284618050337	0.4393939393939394	-0.12309149097933272	0.4163463094979987	0.4797979797979798	-0.12309149097933272	0.4077119510399891	0.4949494949494949	-0.12309149097933272	0.0	0.3999030936537181	0.012830368021975784	0.4633838383838384	0.024199421736473152
11	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	1e-05	X	X	X	X	0.01	0.23071238985633716	0.3228589483871621	0.3434343434343434	0.29012942659282975	0.3121086681935471	0.29797979797979796	0.5044296328024895	0.3631463195485187	0.32954545454545453	0.29012942659282975	0.3176610521132942	0.2992424242424242	0.37692181040762324	0.3296873886068356	0.3055555555555556	0.29012942659282975	0.336597581575988	0.3055555555555555	0.28721347895177635	0.3283623407126849	0.30808080808080807	0.28511240114923325	0.3292887353742853	0.3106060606060606	0.11816976065812392	0.32211029054393103	0.3560606060606061	0.23888665095164563	0.33054787908084465	0.3560606060606061	0.2911834404555719	0.09955813105406741	0.3292369204137092	0.013846623826733248	0.32121212121212117	0.023069195014536935
12	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	1e-05	X	X	X	X	0.1	0.29292929292929293	0.6024027461228809	0.6944444444444444	0.2465426358859398	0.7360666813783073	0.765151515151515	0.3405405449736225	0.6681088835112295	0.75	0.2465426358859398	0.6699181267016467	0.7083333333333335	0.33734954246999327	0.6808243554950968	0.76010101010101	0.29292929292929293	0.5831365276469738	0.7196969696969696	0.5959595959595959	0.6461127835565288	0.7878787878787878	0.3405405449736225	0.6560046241709039	0.7575757575757576	0.1919191919191919	0.6769812402807908	0.6944444444444444	0.21212121212121213	0.5123178926357239	0.648989898989899	0.30973744900477035	0.11379585766384374	0.6431873861500081	0.06244099382084672	0.7286616161616162	0.04255818502163213
13	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	1e-05	X	X	X	X	1.0	0.38978972143455365	0.8124052414868436	0.7929292929292929	0.4923659639173309	0.8678109638426332	0.8257575757575757	0.5949422064001082	0.8562220642692073	0.8257575757575757	0.447801930486707	0.782123497996236	0.7904040404040403	0.44219443899559935	0.7690718846698616	0.7676767676767677	0.3471722831863234	0.763658236412042	0.7651515151515151	0.6030226891555273	0.7982670036651657	0.8055555555555556	0.6455022270395531	0.9000713943922148	0.861111111111111	0.23888665095164563	0.8187217647379401	0.7777777777777777	0.28721347895177635	0.6408338873698135	0.7323232323232323	0.4488891590519124	0.13734009508276557	0.800918593884196	0.07164975285381782	0.7944444444444445	0.036906719002919405
14	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	1e-05	X	X	X	X	10.0	0.4452530846175245	0.6865420410359958	0.7702020202020201	0.45579764825276364	0.7913185662670603	0.8005050505050505	0.4452530846175245	0.6530653532744811	0.808080808080808	0.38978972143455365	0.6978436918821231	0.8156565656565656	0.2335496832484569	0.6886090317219373	0.7727272727272727	0.3379631847096873	0.6699334418371484	0.8055555555555556	0.44114940169152966	0.7504127475499054	0.797979797979798	0.3947710169758614	0.6917980308075992	0.7853535353535355	0.33734954246999327	0.6879474698476995	0.8181818181818181	0.28511240114923325	0.6341360529176723	0.7424242424242424	0.3765988769167128	0.0761842176552176	0.6951606427141623	0.04548419340052617	0.7916666666666667	0.02390483471576249
15	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	1e-05	X	X	X	X	100.0	0.5525429845253618	0.7170969691946045	0.8560606060606061	0.5525429845253618	0.8236201332904771	0.8358585858585859	0.5449492609130661	0.7122915428403493	0.8585858585858586	0.494949494949495	0.745463951489998	0.8636363636363635	0.44219443899559935	0.7696468400402869	0.8358585858585857	0.3947710169758614	0.6890951015776026	0.8232323232323233	0.5438483330175762	0.7515289972612599	0.8409090909090909	0.5449492609130661	0.716689711555833	0.8055555555555555	0.5438483330175762	0.7213802754584936	0.8547979797979799	0.45579764825276364	0.6765607738325952	0.803030303030303	0.5070393756085727	0.057063516597989236	0.7323374296541498	0.04248542197596513	0.8377525252525253	0.021602432915503105
16	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	1e-05	X	X	X	X	1000.0	0.5525429845253618	0.7294901315877669	0.8636363636363636	0.5525429845253618	0.8473480876027765	0.851010101010101	0.6005325641789633	0.8101080607355566	0.8686868686868687	0.5438483330175762	0.7982206862126772	0.8762626262626263	0.44219443899559935	0.8316166370949429	0.8636363636363635	0.3947710169758614	0.7776669826739935	0.8333333333333334	0.5438483330175762	0.8197925258505248	0.8585858585858586	0.5525429845253618	0.8083707919232592	0.8409090909090908	0.5449492609130661	0.7450198143067304	0.8712121212121212	0.45579764825276364	0.6899911544708303	0.8131313131313131	0.5183570548927492	0.06433725014875069	0.7857624872459058	0.0498628236630575	0.8540404040404038	0.019697689128994958
17	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 1e-05, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	1e-05	X	X	X	X	10000.0	0.5525429845253618	0.7294901315877669	0.8636363636363636	0.5525429845253618	0.8473480876027765	0.851010101010101	0.6005325641789633	0.8101080607355566	0.8686868686868687	0.5438483330175762	0.7982206862126772	0.8762626262626263	0.44219443899559935	0.8316166370949429	0.8636363636363635	0.3947710169758614	0.7776669826739935	0.8333333333333334	0.5438483330175762	0.8197925258505248	0.8585858585858586	0.5525429845253618	0.8083707919232592	0.8409090909090908	0.5449492609130661	0.7450198143067304	0.8712121212121212	0.45579764825276364	0.6899911544708303	0.8131313131313131	0.5183570548927492	0.06433725014875069	0.7857624872459058	0.0498628236630575	0.8540404040404038	0.019697689128994958
18	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	0.0001	X	X	X	X	0.0001	0.0	0.3413984498597309	0.32070707070707066	0.0	0.33444991481249364	0.30050505050505044	0.0	0.3562220747752336	0.3484848484848485	0.0	0.3470592480081429	0.32828282828282823	0.0	0.347175962184588	0.33585858585858586	0.0	0.353187973617678	0.34595959595959597	0.0	0.33754881300416767	0.3232323232323232	0.0	0.3336630279765297	0.3005050505050505	0.0	0.35080130238195883	0.3484848484848485	0.0	0.360619594395206	0.35858585858585856	0.0	0.0	0.3462126361015729	0.009268811181388777	0.33106060606060606	0.02014758378456607
19	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	0.0001	X	X	X	X	0.001	-0.12309149097933272	0.3983155280677082	0.46212121212121215	-0.12309149097933272	0.3758896098324875	0.4141414141414141	-0.12309149097933272	0.40521185949298305	0.48232323232323226	-0.12309149097933272	0.39222270795336467	0.44696969696969696	-0.12309149097933272	0.41595096818589944	0.4823232323232323	-0.12309149097933272	0.4010739797047585	0.4671717171717172	-0.12309149097933272	0.4013351765814883	0.46464646464646464	-0.12309149097933272	0.38497284618050337	0.4393939393939394	-0.12309149097933272	0.4163463094979987	0.4797979797979798	-0.12309149097933272	0.4077119510399891	0.4949494949494949	-0.12309149097933272	0.0	0.3999030936537181	0.012830368021975784	0.4633838383838384	0.024199421736473152
20	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	0.0001	X	X	X	X	0.01	0.23071238985633716	0.3228589483871621	0.3434343434343434	0.29012942659282975	0.3121086681935471	0.29797979797979796	0.5044296328024895	0.3631463195485187	0.32954545454545453	0.29012942659282975	0.3176610521132942	0.2992424242424242	0.37692181040762324	0.3296873886068356	0.3055555555555556	0.29012942659282975	0.336597581575988	0.3055555555555555	0.28721347895177635	0.3283623407126849	0.30808080808080807	0.28511240114923325	0.3292887353742853	0.3106060606060606	0.11816976065812392	0.32211029054393103	0.3560606060606061	0.23888665095164563	0.33054787908084465	0.3560606060606061	0.2911834404555719	0.09955813105406741	0.3292369204137092	0.013846623826733248	0.32121212121212117	0.023069195014536935
21	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	0.0001	X	X	X	X	0.1	0.29292929292929293	0.6024027461228809	0.6944444444444444	0.2465426358859398	0.7360666813783073	0.765151515151515	0.3405405449736225	0.6681088835112295	0.75	0.2465426358859398	0.6699181267016467	0.7083333333333335	0.33734954246999327	0.6808243554950968	0.76010101010101	0.29292929292929293	0.5831365276469738	0.7196969696969696	0.5959595959595959	0.6461127835565288	0.7878787878787878	0.3405405449736225	0.6560046241709039	0.7575757575757576	0.1919191919191919	0.6769812402807908	0.6944444444444444	0.21212121212121213	0.5123178926357239	0.648989898989899	0.30973744900477035	0.11379585766384374	0.6431873861500081	0.06244099382084672	0.7286616161616162	0.04255818502163213
22	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	0.0001	X	X	X	X	1.0	0.38978972143455365	0.8124052414868436	0.7929292929292929	0.4923659639173309	0.8678109638426332	0.8257575757575757	0.5949422064001082	0.8562220642692073	0.8257575757575757	0.447801930486707	0.782123497996236	0.7904040404040403	0.44219443899559935	0.7690718846698616	0.7676767676767677	0.3471722831863234	0.763658236412042	0.7651515151515151	0.6030226891555273	0.7982670036651657	0.8055555555555556	0.6455022270395531	0.9000713943922148	0.861111111111111	0.23888665095164563	0.8187217647379401	0.7777777777777777	0.28721347895177635	0.6423294590284286	0.7348484848484849	0.4488891590519124	0.13734009508276557	0.8010681510500574	0.07127907634172469	0.7946969696969697	0.03644013184932704
23	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	0.0001	X	X	X	X	10.0	0.4452530846175245	0.6878161784212444	0.7727272727272727	0.45579764825276364	0.7913185662670603	0.8005050505050505	0.4452530846175245	0.6530653532744811	0.808080808080808	0.38978972143455365	0.6978436918821231	0.8156565656565656	0.2335496832484569	0.6886090317219373	0.7727272727272727	0.3379631847096873	0.6699334418371484	0.8055555555555556	0.44114940169152966	0.7504127475499054	0.797979797979798	0.3947710169758614	0.6917980308075992	0.7853535353535355	0.33734954246999327	0.6879474698476995	0.8181818181818181	0.28511240114923325	0.6341360529176723	0.7424242424242424	0.3765988769167128	0.0761842176552176	0.6952880564526872	0.04545914547019556	0.7919191919191919	0.02366502813576507
24	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	0.0001	X	X	X	X	100.0	0.5525429845253618	0.7199408845385199	0.8585858585858586	0.5525429845253618	0.8236201332904771	0.8358585858585859	0.5449492609130661	0.7122915428403493	0.8585858585858586	0.494949494949495	0.745463951489998	0.8636363636363635	0.44219443899559935	0.7678190382124852	0.8333333333333333	0.3947710169758614	0.6890951015776026	0.8232323232323233	0.5438483330175762	0.7515289972612599	0.8409090909090909	0.5449492609130661	0.716689711555833	0.8055555555555555	0.5438483330175762	0.7227691643473826	0.8560606060606062	0.45579764825276364	0.6765607738325952	0.803030303030303	0.5070393756085727	0.057063516597989236	0.7325779298946502	0.04216945831582313	0.8378787878787879	0.022008203158061967
25	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	0.0001	X	X	X	X	1000.0	0.5525429845253618	0.7294901315877669	0.8636363636363636	0.5525429845253618	0.8503293655840545	0.8535353535353536	0.6005325641789633	0.8080287884808458	0.8661616161616162	0.5438483330175762	0.7982206862126772	0.8762626262626263	0.44219443899559935	0.8316166370949429	0.8636363636363635	0.3947710169758614	0.7761107148677258	0.8308080808080808	0.5438483330175762	0.8197925258505248	0.8585858585858586	0.5525429845253618	0.8083707919232592	0.8409090909090908	0.5449492609130661	0.7450198143067304	0.8712121212121212	0.45579764825276364	0.6918673727944169	0.8156565656565657	0.5183570548927492	0.06433725014875069	0.7858846828702944	0.049807966806352924	0.8540404040404042	0.019224380368512047
26	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.0001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	0.0001	X	X	X	X	10000.0	0.5525429845253618	0.7294901315877669	0.8636363636363636	0.5525429845253618	0.8503293655840545	0.8535353535353536	0.6005325641789633	0.8080287884808458	0.8661616161616162	0.5438483330175762	0.7982206862126772	0.8762626262626263	0.44219443899559935	0.8316166370949429	0.8636363636363635	0.3947710169758614	0.7761107148677258	0.8308080808080808	0.5438483330175762	0.8197925258505248	0.8585858585858586	0.5525429845253618	0.8083707919232592	0.8409090909090908	0.5449492609130661	0.7450198143067304	0.8712121212121212	0.45579764825276364	0.6918673727944169	0.8156565656565657	0.5183570548927492	0.06433725014875069	0.7858846828702944	0.049807966806352924	0.8540404040404042	0.019224380368512047
27	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	0.001	X	X	X	X	0.0001	0.0	0.3413984498597309	0.32070707070707066	0.0	0.3336322139947928	0.29797979797979796	0.0	0.35779630368641907	0.3535353535353536	0.0	0.346279164565016	0.32828282828282823	0.0	0.3478373378459637	0.3383838383838384	0.0	0.353187973617678	0.34595959595959597	0.0	0.33754881300416767	0.3232323232323232	0.0	0.3336630279765297	0.3005050505050505	0.0	0.35080130238195883	0.3484848484848485	0.0	0.36147964416829925	0.3611111111111111	0.0	0.0	0.3463624231100556	0.009737622949438004	0.33181818181818185	0.021565912834882007
28	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	0.001	X	X	X	X	0.001	-0.12309149097933272	0.3983155280677082	0.46212121212121215	-0.12309149097933272	0.37525045853544137	0.41161616161616155	-0.12309149097933272	0.40521185949298305	0.48232323232323226	-0.12309149097933272	0.39222270795336467	0.44696969696969696	-0.12309149097933272	0.41595096818589944	0.4823232323232323	-0.12309149097933272	0.4010739797047585	0.4671717171717172	-0.12309149097933272	0.4013351765814883	0.46464646464646464	-0.12309149097933272	0.38497284618050337	0.4393939393939394	-0.12309149097933272	0.4163463094979987	0.4797979797979798	-0.12309149097933272	0.4077119510399891	0.4949494949494949	-0.12309149097933272	0.0	0.39983917852401346	0.012964178226595452	0.46313131313131317	0.02477666113735385
29	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	0.001	X	X	X	X	0.01	0.23071238985633716	0.3228589483871621	0.3434343434343434	0.29012942659282975	0.3121086681935471	0.29797979797979796	0.5044296328024895	0.3631463195485187	0.32954545454545453	0.29012942659282975	0.3176610521132942	0.2992424242424242	0.37692181040762324	0.3296873886068356	0.3055555555555556	0.29012942659282975	0.336597581575988	0.3055555555555555	0.28721347895177635	0.3283623407126849	0.30808080808080807	0.28511240114923325	0.3292887353742853	0.3106060606060606	0.11816976065812392	0.32211029054393103	0.3560606060606061	0.23888665095164563	0.33054787908084465	0.3560606060606061	0.2911834404555719	0.09955813105406741	0.3292369204137092	0.013846623826733248	0.32121212121212117	0.023069195014536935
30	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	2.0	2.0	0.001	X	X	X	X	0.1	0.29292929292929293	0.6024027461228809	0.6944444444444444	0.2465426358859398	0.7360666813783073	0.765151515151515	0.3405405449736225	0.6681088835112295	0.75	0.2465426358859398	0.6699181267016467	0.7083333333333335	0.33734954246999327	0.6808243554950968	0.76010101010101	0.29292929292929293	0.5831365276469738	0.7196969696969696	0.5959595959595959	0.6461127835565288	0.7878787878787878	0.3405405449736225	0.6560046241709039	0.7575757575757576	0.1919191919191919	0.6769812402807908	0.6944444444444444	0.21212121212121213	0.5123178926357239	0.648989898989899	0.30973744900477035	0.11379585766384374	0.6431873861500081	0.06244099382084672	0.7286616161616162	0.04255818502163213
31	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	2.0	2.0	0.001	X	X	X	X	1.0	0.38978972143455365	0.8124052414868436	0.7929292929292929	0.4923659639173309	0.8678109638426332	0.8257575757575757	0.5949422064001082	0.8640753221224651	0.8308080808080807	0.447801930486707	0.782123497996236	0.7904040404040403	0.44219443899559935	0.7690718846698616	0.7676767676767677	0.3471722831863234	0.763658236412042	0.7651515151515151	0.6030226891555273	0.7982670036651657	0.8055555555555556	0.6455022270395531	0.9000713943922148	0.861111111111111	0.23888665095164563	0.8187217647379401	0.7777777777777777	0.28721347895177635	0.6511257553247249	0.7373737373737373	0.4488891590519124	0.13734009508276557	0.8027331064650127	0.06985010849120953	0.7954545454545452	0.036497446782287515
32	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	2.0	2.0	0.001	X	X	X	X	10.0	0.4452530846175245	0.7125145074673995	0.7777777777777777	0.45579764825276364	0.7913185662670603	0.8005050505050505	0.4452530846175245	0.6605127334934058	0.8055555555555556	0.38978972143455365	0.7049194529433915	0.8207070707070707	0.2335496832484569	0.6886090317219373	0.7727272727272727	0.3379631847096873	0.6699334418371484	0.8055555555555556	0.44114940169152966	0.7504127475499054	0.797979797979798	0.3947710169758614	0.6917980308075992	0.7853535353535355	0.33734954246999327	0.6918616112618409	0.8207070707070707	0.23071238985633716	0.6284592451575313	0.7398989898989898	0.3711588757874232	0.08488781545417258	0.699033936850722	0.04582162076099903	0.7926767676767678	0.024611677626687638
33	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 100.0}	2.0	2.0	0.001	X	X	X	X	100.0	0.5525429845253618	0.7129303025279379	0.8560606060606061	0.5525429845253618	0.8231771658282975	0.8358585858585859	0.49517597397212765	0.703495246544053	0.8560606060606061	0.494949494949495	0.7414008849269315	0.861111111111111	0.44219443899559935	0.7697286793736519	0.8358585858585857	0.3947710169758614	0.6917914792739803	0.8257575757575758	0.5438483330175762	0.7763057502988825	0.8459595959595959	0.5449492609130661	0.716689711555833	0.8055555555555555	0.5438483330175762	0.7227691643473826	0.8560606060606062	0.45579764825276364	0.680175604142687	0.8080808080808081	0.5020620469144789	0.055539822774152287	0.7338463988819637	0.04416169004629288	0.8386363636363636	0.020217796869947593
34	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1000.0}	2.0	2.0	0.001	X	X	X	X	1000.0	0.5525429845253618	0.7232070628046983	0.8611111111111112	0.5525429845253618	0.8511704090721568	0.856060606060606	0.6005325641789633	0.806152570157259	0.8636363636363638	0.5438483330175762	0.8005378898972699	0.8787878787878787	0.44219443899559935	0.8316166370949429	0.8636363636363635	0.3947710169758614	0.7761107148677258	0.8308080808080808	0.5438483330175762	0.8245475105971668	0.8636363636363636	0.5525429845253618	0.8023444925146068	0.8358585858585857	0.5449492609130661	0.7446743657967129	0.8712121212121213	0.45579764825276364	0.6972071417211424	0.8207070707070707	0.5183570548927492	0.06433725014875069	0.7857568794523682	0.04981156570690297	0.8545454545454543	0.018904756954383574
35	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10000.0}	2.0	2.0	0.001	X	X	X	X	10000.0	0.5525429845253618	0.7232070628046983	0.8611111111111112	0.5525429845253618	0.8511704090721568	0.856060606060606	0.6005325641789633	0.806152570157259	0.8636363636363638	0.5438483330175762	0.8005378898972699	0.8787878787878787	0.44219443899559935	0.8316166370949429	0.8636363636363635	0.3947710169758614	0.7761107148677258	0.8308080808080808	0.5438483330175762	0.8245475105971668	0.8636363636363636	0.5525429845253618	0.8023444925146068	0.8358585858585857	0.5449492609130661	0.7446743657967129	0.8712121212121213	0.45579764825276364	0.6972071417211424	0.8207070707070707	0.5183570548927492	0.06433725014875069	0.7857568794523682	0.04981156570690297	0.8545454545454543	0.018904756954383574
36	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.01, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.0001}	2.0	2.0	0.01	X	X	X	X	0.0001	0.0	0.341012647390595	0.3181818181818182	0.0	0.3343759448630448	0.30050505050505044	0.0	0.35471277449095084	0.3434343434343434	0.0	0.3454599214088163	0.32575757575757575	0.0	0.3500354205986137	0.345959595959596	0.0	0.353187973617678	0.34595959595959597	0.0	0.3361638810636801	0.3181818181818182	0.0	0.3329744634092887	0.29797979797979796	0.0	0.3499386876304552	0.345959595959596	0.0	0.36147964416829925	0.3611111111111111	0.0	0.0	0.34593413586414223	0.009578048713464042	0.3303030303030303	0.021354606694177235
37	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.01, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	2.0	2.0	0.01	X	X	X	X	0.001	-0.12309149097933272	0.3983155280677082	0.46212121212121215	-0.12309149097933272	0.3776216740645517	0.41666666666666663	-0.12309149097933272	0.40521185949298305	0.48232323232323226	-0.12309149097933272	0.39222270795336467	0.44696969696969696	-0.12309149097933272	0.41595096818589944	0.4823232323232323	-0.12309149097933272	0.4010739797047585	0.4671717171717172	-0.12309149097933272	0.40038268257343873	0.46212121212121215	-0.12309149097933272	0.38497284618050337	0.4393939393939394	-0.12309149097933272	0.4163463094979987	0.4797979797979798	-0.12309149097933272	0.40850489447999133	0.4974747474747475	-0.12309149097933272	0.0	0.4000603450201198	0.012526966174188402	0.4636363636363637	0.02402162825823162
38	{'dataselector__P1': 2.0, 'dataselector__P2': 2.0, 'dataselector__R0': 0.01, 'dataselector__R1': 'X', 'dataselector__R2': 'X', 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	2.0	2.0	0.01	X	X	X	X	0.01	0.23071238985633716	0.3228589483871621	0.33585858585858586	0.29012942659282975	0.31285239906179907	0.3005050505050505	0.5044296328024895	0.3621472942073881	0.32702020202020204	0.29012942659282975	0.31898166996617017	0.3042929292929293	0.37692181040762324	0.3296873886068356	0.3055555555555556	0.29012942659282975	0.336597581575988	0.3055555555555555	0.2335496832484569	0.3277009650513092	0.3055555555555556	0.28511240114923325	0.3292887353742853	0.3106060606060606	0.11816976065812392	0.32211029054393103	0.3560606060606061	0.23888665095164563	0.32954885373971404	0.35353535353535354	0.2858170608852399	0.10122818130307173	0.3291774126514583	0.013354103714053853	0.32045454545454544	0.021251499977402798
